"Indicator type","Indicator","Description"
"IPv4","156.224.63.37",""
"IPv4","167.99.176.15",""
"IPv4","43.225.186.90",""
"IPv4","190.144.14.170",""
"IPv4","172.104.205.218",""
"IPv4","20.195.224.231",""
"IPv4","198.244.194.238",""
"IPv4","193.93.251.137",""
"IPv4","54.180.29.92",""
"IPv4","106.247.228.98",""
"IPv4","8.215.45.9",""
"IPv4","82.202.178.111",""
"IPv4","43.201.1.26",""
"IPv4","81.107.2.172",""
"IPv4","18.205.59.96",""
"IPv4","200.7.91.146",""
"IPv4","125.137.23.29",""
"IPv4","187.95.162.20",""
"IPv4","20.224.203.215",""
"IPv4","125.26.179.111",""
"IPv4","93.146.168.94",""
"IPv4","92.117.30.144",""
"IPv4","68.183.92.26",""
"IPv4","47.91.90.101",""
"IPv4","134.209.98.67",""
"IPv4","103.31.38.148",""
"IPv4","185.69.145.73",""
"IPv4","178.62.200.235",""
"IPv4","118.27.26.17",""
"IPv4","202.88.241.158",""
"IPv4","168.232.197.175",""
"IPv4","137.184.113.12",""
"IPv4","217.95.136.147",""
"IPv4","43.143.16.220",""
"IPv4","179.43.156.143",""
"IPv4","41.211.100.242",""
"IPv4","137.184.71.173",""
"IPv4","177.1.213.19",""
"IPv4","114.4.227.194",""
"IPv4","36.94.95.210",""
"IPv4","157.230.9.57",""
"IPv4","5.255.103.60",""
"IPv4","195.137.160.131",""
"IPv4","175.136.192.173",""
"IPv4","188.36.125.179",""
"IPv4","139.59.186.183",""
"IPv4","171.246.95.138",""
"IPv4","37.114.40.171",""
"IPv4","220.129.211.241",""
"IPv4","178.128.215.152",""
"IPv4","96.69.13.140",""
"IPv4","51.11.105.239",""
"IPv4","40.70.0.187",""
"IPv4","82.209.96.112",""
"IPv4","14.63.212.60",""
"IPv4","181.209.159.166",""
"IPv4","69.49.244.94",""
"IPv4","114.217.31.45",""
"IPv4","5.182.4.121",""
"IPv4","119.148.6.91",""
"IPv4","182.23.67.99",""
"IPv4","206.189.117.62",""
"IPv4","51.250.21.73",""
"IPv4","68.183.94.199",""
"IPv4","115.134.130.53",""
"IPv4","201.119.151.95",""
"IPv4","129.154.215.208",""
"IPv4","120.199.82.50",""
"IPv4","196.0.121.5",""
"IPv4","165.22.56.124",""
"IPv4","187.72.70.33",""
"IPv4","128.199.230.173",""
"IPv4","179.210.107.44",""
"IPv4","172.104.248.66",""
"IPv4","122.11.148.34",""
"IPv4","118.27.9.23",""
"IPv4","163.197.181.215",""
"IPv4","45.7.119.3",""
"IPv4","146.185.137.240",""
"IPv4","51.15.177.177",""
"IPv4","170.80.68.242",""
"IPv4","103.79.76.48",""
"IPv4","185.149.120.19",""
"IPv4","58.17.200.197",""
"IPv4","111.12.63.34",""
"IPv4","209.14.136.230",""
"IPv4","13.80.3.239",""
"IPv4","221.150.94.24",""
